budget,genres,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count
380000000,Adventure-Action-Fantasy,1865,sea-captain-mutiny-sword-prime minister-sailing-silver-ship-duke-mermaid-pirate-soldier-battle-swashbuckler-aftercreditsstinger-3d,en,Pirates of the Caribbean: On Stranger Tides,135.413856,2011-05-14,1045713802,136.0,English-Español,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,Action-Comedy-Science Fiction,41154,time travel-time machine-alien-fictional government agency-seeing the future-changing history,en,Men in Black 3,52.035179,2012-05-23,624026776,106.0,English,Released,Men in Black 3,6.2,4160
250000000,Action-Adventure-Fantasy,122917,corruption-elves-dwarves-orcs-middle-earth (tolkien)-hobbit-dragon-battle-unlikely friendship-epic battle-sword and sorcery,en,The Hobbit: The Battle of the Five Armies,120.96574299999999,2014-12-10,956019788,144.0,English,Released,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,Action-Adventure-Fantasy,1930,loss of father-vigilante-serum-marvel comic-scientific experiment-spider bite-masked vigilante-reboot-super powers-genetic engineering-social outcast-duringcreditsstinger,en,The Amazing Spider-Man,89.866276,2012-06-27,752215857,136.0,English,Released,The Amazing Spider-Man,6.5,6586
200000000,Action-Adventure,20662,robin hood-archer-knight-sherwood forest-bow and arrow-middle ages-medieval-king of england,en,Robin Hood,37.668301,2010-05-12,310669540,140.0,English-ภาษาไทย,Released,Robin Hood,6.2,1398
250000000,Adventure-Fantasy,57158,elves-dwarves-orcs-hobbit-dragon-wizard-sword and sorcery,en,The Hobbit: The Desolation of Smaug,94.370564,2013-12-11,958400000,161.0,English,Released,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,Adventure-Fantasy,2268,england-compass-experiment-lordship-uncle-polar bear-orphan-animal-based on young adult novel,en,The Golden Compass,42.990906,2007-12-04,372234864,113.0,Íslenska-English-Pусский-Français,Released,The Golden Compass,5.8,1303
207000000,Adventure-Drama-Action,254,film business-screenplay-show business-film making-film producer-exotic island-monster-indigenous-ship-dinosaur,en,King Kong,61.226009999999995,2005-12-14,550000000,187.0,English,Released,King Kong,6.6,2337
200000000,Drama-Romance-Thriller,597,shipwreck-iceberg-ship-panic-titanic-ocean liner-epic-rich woman - poor man-love-disaster-tragic love-class differences-imax-star crossed lovers-steerage-salvage-rich snob-3d-1910s,en,Titanic,100.025899,1997-11-18,1845034188,194.0,English-Français-Deutsch-svenska-Italiano-Pусский,Released,Titanic,7.5,7562
250000000,Adventure-Action-Science Fiction,271110,civil war-war-marvel comic-sequel-superhero-based on comic book-imax-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe-3d,en,Captain America: Civil War,198.37239499999998,2016-04-27,1153304495,147.0,Română-English-Deutsch-Pусский,Released,Captain America: Civil War,7.1,7241
209000000,Thriller-Action-Adventure-Science Fiction,44833,fight-u.s. navy-mind reading-hong kong-soccer-scientist-fictional war-naval-armada-battleship-naval combat-jds myoko-lost communication-taser-buoy-communications expert-joint chiefs of staff-crash landing-jet fighter pilot-navy lieutenant-permission to marry-uss john paul jones-based on board game-aftercreditsstinger-mighty mo-uss missouri,en,Battleship,64.928382,2012-04-11,303025485,131.0,English-ภาษาไทย,Released,Battleship,5.5,2114
150000000,Action-Adventure-Science Fiction-Thriller,135397,monster-dna-tyrannosaurus rex-velociraptor-island-sequel-suspense-disaster-escape-dinosaur-amusement park-animal attack-theme park-jurassic park-3d-animal horror,en,Jurassic World,418.708552,2015-06-09,1513528810,124.0,English,Released,Jurassic World,6.5,8662
200000000,Action-Adventure-Thriller,37724,spy-secret agent-sociopath-killer-art gallery-british secret service-istanbul turkey-imax-uzi-booby trap-impersonating a police officer-macao,en,Skyfall,93.004993,2012-10-25,1108561013,143.0,English,Released,Skyfall,6.9,7604
200000000,Action-Adventure-Fantasy,558,dual identity-love of one's life-pizza boy-marvel comic-sequel-superhero-doctor-scientist-tentacle-death-super villain,en,Spider-Man 2,35.149586,2004-06-25,783766341,127.0,English-Pусский-普通话,Released,Spider-Man 2,6.7,4321
200000000,Action-Adventure-Science Fiction,68721,terrorist-war on terror-tennessee-malibu-marvel comic-superhero-based on comic book-tony stark-iron man-aftercreditsstinger-marvel cinematic universe-mandarin-3d-war machine-iron patriot-extremis,en,Iron Man 3,77.68208,2013-04-18,1215439994,130.0,English,Released,Iron Man 3,6.8,8806
200000000,Family-Fantasy-Adventure,12155,based on novel-fictional place-queen-fantasy-alice in wonderland-fantasy world-3d,en,Alice in Wonderland,78.530105,2010-03-03,1025491110,108.0,English,Released,Alice in Wonderland,6.4,4645
210000000,Adventure-Action-Science Fiction-Thriller,36668,mutant-marvel comic-based on comic book-superhuman-beast-cyclops-aftercreditsstinger,en,X-Men: The Last Stand,3.857526,2006-05-24,459359555,104.0,English,Released,X-Men: The Last Stand,6.3,3525
200000000,Animation-Family,62211,monster-dormitory-games-animation-best friend-university-scary-aftercreditsstinger,en,Monsters University,89.186492,2013-06-20,743559607,104.0,English,Released,Monsters University,7.0,3528
150000000,Science Fiction-Action-Adventure,8373,egypt-sun-chaos-symbol-artifact-transformers-tank-robot-imax-duringcreditsstinger,en,Transformers: Revenge of the Fallen,21.939663,2009-06-19,836297228,150.0,English-Español,Released,Transformers: Revenge of the Fallen,6.0,3138
210000000,Science Fiction-Action-Adventure,91314,sequel-alien-transformers-giant robot-robot-imax-transforming robot,en,Transformers: Age of Extinction,116.840296,2014-06-25,1091405097,165.0,English,Released,Transformers: Age of Extinction,5.8,3095
200000000,Fantasy-Adventure-Family,68728,circus-witch-magic-hope-illusion-lost-magic trick-wizard-3d,en,Oz: The Great and Powerful,46.985445,2013-03-07,491868548,130.0,English,Released,Oz: The Great and Powerful,5.7,3530
200000000,Action-Adventure-Fantasy,102382,obsession-marvel comic-sequel-based on comic book-electrocution-medical experiment-electricity-super powers,en,The Amazing Spider-Man 2,89.270217,2014-04-16,705717432,142.0,English,Released,The Amazing Spider-Man 2,6.5,4179
170000000,Adventure-Action-Science Fiction,20526,artificial intelligence-secret identity-computer program-dystopia-computer-deception-duel-motorcycle-neon light-autocracy,en,TRON: Legacy,73.79505,2010-12-10,400062763,125.0,English,Released,TRON: Legacy,6.3,2841
200000000,Animation-Family-Adventure-Comedy,49013,car race-sequel-comedy-anthropomorphism-best friend-duringcreditsstinger,en,Cars 2,49.98659,2011-06-11,559852396,106.0,English-日本語-Italiano-Français,Released,Cars 2,5.8,2033
200000000,Adventure-Action-Thriller-Science Fiction,44912,dc comics-transformation-superhero-alien-alien infection-magical object-protector-super powers-origin-3d,en,Green Lantern,51.872839,2011-06-16,219851172,114.0,English,Released,Green Lantern,5.1,2487
200000000,Animation-Family-Comedy,10193,hostage-college-toy-barbie-animation-escape-day care-teddy bear-duringcreditsstinger-toy comes to life-personification-inanimate objects coming to life-toy story,en,Toy Story 3,59.99541800000001,2010-06-16,1066969703,103.0,English-Español,Released,Toy Story 3,7.6,4597
200000000,Action-Science Fiction-Thriller,534,saving the world-artificial intelligence-prophecy-san francisco-cyborg-killer robot-gas station-post-apocalyptic-dystopia-army-firearm-wartime-los angeles,en,Terminator Salvation,71.862892,2009-05-20,371353001,115.0,English-Italiano,Released,Terminator Salvation,5.9,2463
190000000,Action,168259,car race-speed-revenge-suspense-car-race-muscle car,en,Furious 7,102.32221700000001,2015-04-01,1506249360,137.0,English,Released,Furious 7,7.3,4176
200000000,Action-Drama-Horror-Science Fiction-Thriller,72190,dystopia-apocalypse-zombie-nuclear weapons-multiple perspectives-zombie apocalypse,en,World War Z,81.834855,2013-06-20,531865000,116.0,English,Released,World War Z,6.7,5560
250000000,Action-Adventure-Fantasy-Science Fiction,127585,1970s-mutant-time travel-marvel comic-based on comic book-superhuman-storm-beast-aftercreditsstinger-changing the past or future,en,X-Men: Days of Future Past,118.07869099999999,2014-05-15,747862775,131.0,English,Released,X-Men: Days of Future Past,7.5,6032
190000000,Action-Adventure-Science Fiction,54138,spacecraft-friendship-sequel-futuristic-space-alien-imax-space opera-terrorist bombing-3d,en,Star Trek Into Darkness,78.29101800000001,2013-05-05,467365246,132.0,English,Released,Star Trek Into Darkness,7.4,4418
195000000,Action-Family-Fantasy,81005,based on fairy tale-giant,en,Jack the Giant Slayer,43.349855,2013-02-27,197687603,114.0,English,Released,Jack the Giant Slayer,5.5,2598
105000000,Drama-Romance,64682,based on novel-infidelity-obsession-hope-3d,en,The Great Gatsby,61.196070999999996,2013-05-10,351040419,143.0,English,Released,The Great Gatsby,7.3,3769
150000000,Adventure-Fantasy-Action-Romance,9543,persia-sandstorm-brother against brother-armageddon-regent-based on video game,en,Prince of Persia: The Sands of Time,62.169881000000004,2010-05-19,335154643,116.0,English,Released,Prince of Persia: The Sands of Time,6.2,2317
180000000,Action-Science Fiction-Adventure,68726,dystopia-giant robot-giant monster-apocalypse-imax-duringcreditsstinger-3d,en,Pacific Rim,56.523205000000004,2013-07-11,407602906,131.0,English,Released,Pacific Rim,6.7,4794
195000000,Action-Science Fiction-Adventure,38356,moon-spacecraft-traitor-bodyguard-alien planet-based on cartoon-transformers-giant robot-sabotage-word domination-commando-duringcreditsstinger,en,Transformers: Dark of the Moon,28.529607000000002,2011-06-28,1123746996,154.0,English,Released,Transformers: Dark of the Moon,6.1,3299
185000000,Adventure-Action,217,saving the world-riddle-whip-treasure-mexico city-leather jacket-machinegun-alien phenomenons-maya civilization-peru-treasure hunt-nuclear explosion-refrigerator-archaeologist-indiana jones-archeology ,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008-05-21,786636033,122.0,English-Deutsch-Pусский,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,Adventure-Animation-Family,105864,tyrannosaurus rex-friends-alternate history-dinosaur-fear-storm-nature-human-journey,en,The Good Dinosaur,51.692953,2015-11-14,331926147,93.0,English,Released,The Good Dinosaur,6.6,1736
185000000,Animation-Adventure-Comedy-Family-Action-Fantasy,62177,scotland-rebel-bravery-kingdom-archer-wish-bear-scot-rebellious daughter-turns into animal-archery-ruins-aftercreditsstinger-peace offering-woman director-courage-3d,en,Brave,125.114374,2012-06-21,538983207,93.0,English,Released,Brave,6.7,4641
185000000,Action-Adventure-Science Fiction,188927,sequel-stranded-hatred-space opera,en,Star Trek Beyond,65.352913,2016-07-07,343471816,122.0,English,Released,Star Trek Beyond,6.6,2568
180000000,Animation-Family,10681,romantic comedy,en,WALL·E,66.390712,2008-06-22,521311860,98.0,English,Released,WALL·E,7.8,6296
140000000,Action-Comedy-Crime-Thriller,5174,ambassador,en,Rush Hour 3,22.57178,2007-08-08,258022233,91.0,Latin-English-Français-日本語-普通话,Released,Rush Hour 3,6.1,783
200000000,Action-Adventure-Science Fiction,14161,civilization-natural disaster-end of the world-disaster-apocalypse-destruction-volcanic eruption-mayan-ark-solar-destruction  of mankind,en,2012,45.274225,2009-10-10,769653595,158.0,English-Français-हिन्दी-Italiano-Latin-普通话-Português-Pусский-,Released,2012,5.6,4903
200000000,Animation-Drama,17979,holiday-based on novel-victorian england-money-christmas eve-scrooge-christmas carol-ghost-lesson-charles dickens-christmas,en,A Christmas Carol,39.744242,2009-11-04,325233863,96.0,English,Released,A Christmas Carol,6.6,1095
176000003,Science Fiction-Fantasy-Action-Adventure,76757,jupiter-space-woman director-3d-interspecies romance,en,Jupiter Ascending,85.36908000000001,2015-02-04,183987723,124.0,English,Released,Jupiter Ascending,5.2,2768
180000000,Action-Adventure,258489,africa-feral child-tarzan-jungle-animal attack,en,The Legend of Tarzan,42.741719,2016-06-29,356743061,109.0,English,Released,The Legend of Tarzan,5.5,2430
180000000,Adventure-Family-Fantasy,411,saving the world-witch-based on novel-brother sister relationship-self sacrifice-winter-cupboard-beaver-lion-fairy-tale figure-battle-narnia-fantasy world-duringcreditsstinger,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005-12-07,748806957,143.0,English-Deutsch,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,Science Fiction,246655,mutant-supernatural powers-marvel comic-superhero-based on comic book-superhuman-apocalypse-superhero team-world domination-aftercreditsstinger-1980s,en,X-Men: Apocalypse,139.272042,2016-05-18,543934787,144.0,English,Released,X-Men: Apocalypse,6.4,4721
185000000,Drama-Action-Crime-Thriller,155,dc comics-crime fighter-secret identity-scarecrow-sadism-chaos-gotham city-vigilante-joker-superhero-based on comic book-tragic hero-organized crime-criminal mastermind-district attorney-imax-super villain-super powers-batman,en,The Dark Knight,187.322927,2008-07-16,1004558444,152.0,English-普通话,Released,The Dark Knight,8.2,12002
175000000,Animation-Comedy-Family-Adventure,14160,age difference-central and south america-balloon-animation-floating in the air-duringcreditsstinger-exploring,en,Up,92.201962,2009-05-13,735099082,96.0,English,Released,Up,7.7,6870
175000000,Animation-Family-Adventure-Science Fiction,15512,alien-giant robot-duringcreditsstinger,en,Monsters vs Aliens,36.167578000000006,2009-03-19,381509870,94.0,English,Released,Monsters vs Aliens,6.0,1423
140000000,Action-Science Fiction-Adventure,1726,middle east-arms dealer-malibu-marvel comic-superhero-based on comic book-tony stark-iron man-aftercreditsstinger-marvel cinematic universe-counter terrorism-agent coulson,en,Iron Man,120.725053,2008-04-30,585174222,126.0,English-فارسی-اردو-العربية,Released,Iron Man,7.4,8776
170000000,Adventure-Drama-Family,44826,library-clock-film director-key-toy-boy-love-orphan-robot-automaton-hiding-filmmaking-leg brace-doberman-3d,en,Hugo,32.319043,2011-11-22,185770160,126.0,English,Released,Hugo,7.0,2141
170000000,Action-Adventure-Comedy-Science Fiction-Western,8487,steampunk-based on tv series-steam locomotive-drag,en,Wild Wild West,40.748915000000004,1999-06-29,222104681,106.0,English,Released,Wild Wild West,5.1,1020
145000000,Adventure-Action-Fantasy,1735,,en,The Mummy: Tomb of the Dragon Emperor,60.034162,2008-07-01,401128639,112.0,English-普通话-,Released,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,Action-Adventure-Crime-Fantasy-Science Fiction,297761,dc comics-shared universe-anti hero-secret mission-villain-superhero-supervillain-dc extended universe,en,Suicide Squad,90.23791999999999,2016-08-02,745000000,123.0,English,Released,Suicide Squad,5.9,7458
175000000,Fantasy-Comedy-Family,2698,father son relationship-daily life-married couple-support-father-marriage-faith-baustelle-rescue-animal-nature-duringcreditsstinger-noah's ark,en,Evan Almighty,27.082182,2007-06-09,173000000,96.0,English,Released,Evan Almighty,5.3,1151
178000000,Action-Science Fiction,137113,deja vu-time warp-restart-dystopia-war-alien-military officer-soldier-alien invasion-exoskeleton,en,Edge of Tomorrow,79.456485,2014-05-27,370541256,113.0,English,Released,Edge of Tomorrow,7.6,4858
175000000,Adventure-Action,9804,ocean-tattoo-mutant-water-dystopia-doomsday,en,Waterworld,44.640291999999995,1995-07-28,264218220,135.0,English-Deutsch-Español,Released,Waterworld,5.9,992
175000000,Adventure-Action-Thriller-Science Fiction,14869,terrorist-secret-hostage-technology-warhead-government-president-revenge-murder-attack-explosion-scientist-lasers-evil-cobra,en,G.I. Joe: The Rise of Cobra,32.852443,2009-08-04,302469017,118.0,English-Français-,Released,G.I. Joe: The Rise of Cobra,5.6,1962
175000000,Drama-Comedy-Animation-Family,150540,dream-cartoon-imaginary friend-animation-family-moving-kids-unicorn-duringcreditsstinger-3d-emotions,en,Inside Out,128.65596399999998,2015-06-09,857611174,94.0,English,Released,Inside Out,8.0,6560
175000000,Family-Adventure-Drama-Fantasy,278927,based on novel-snake-wolf-elephant-tiger-feral child-panther-remake-bear-jungle-talking animal-orphan-animal-talking to animals,en,The Jungle Book,94.19931600000001,2016-04-07,966550600,106.0,English,Released,The Jungle Book,6.7,2892
200000000,Adventure-Action-Science Fiction,10138,malibu-marvel comic-superhero-based on comic book-revenge-aftercreditsstinger-marvel cinematic universe,en,Iron Man 2,77.30019399999999,2010-04-28,623933331,124.0,English-Pусский-Français,Released,Iron Man 2,6.6,6849
170000000,Adventure-Fantasy-Drama,58595,queen-magic-fairy tale-immortality-forest-deception-woman-eternal youth-snow white-evil queen-evil stepmother-imprisoned-sorceress,en,Snow White and the Huntsman,77.178973,2012-05-30,396600000,127.0,English,Released,Snow White and the Huntsman,5.8,3118
180000000,Fantasy-Adventure-Action-Family-Romance,102651,fairy tale-villain-sleeping beauty-dark fantasy-based on fairy tale-adaptation-retelling-literary adaptation-3d,en,Maleficent,110.62064699999999,2014-05-28,758539785,97.0,English,Released,Maleficent,7.0,4496
170000000,Science Fiction-Action-Drama-Thriller,119450,leader-colony-post-apocalyptic-dystopia-forest-sequel-woods-ape-scientist-monkey-medical research-animal attack-plague-3d,en,Dawn of the Planet of the Apes,243.79174300000003,2014-06-26,710644566,130.0,English,Released,Dawn of the Planet of the Apes,7.3,4410
27000000,Action-Adventure-Science Fiction-Romance,79698,,en,The Lovers,2.418535,2015-02-13,0,109.0,English,Released,The Lovers,4.8,34
175000000,Drama-Action-Adventure-Fantasy,64686,japan-suicide-samurai-based on true story-samurai sword-ronin-shogun-half breed-3d,en,47 Ronin,41.796339,2013-12-06,150962475,119.0,English-日本語,Released,47 Ronin,5.9,1326
170000000,Action-Adventure-Science Fiction,100402,washington d.c.-future-shield-marvel comic-superhero-based on comic book-captain america-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe-3d-political thriller,en,Captain America: The Winter Soldier,72.22526500000001,2014-03-20,714766572,136.0,English,Released,Captain America: The Winter Soldier,7.6,5764
165000000,Comedy-Adventure-Fantasy-Animation-Family,10192,ogre-3d,en,Shrek Forever After,44.041185999999996,2010-05-16,752600867,93.0,English,Released,Shrek Forever After,6.0,1959
190000000,Adventure-Family-Mystery-Science Fiction,158852,inventor-apocalypse-destiny-imax-dreamer-futuristic car-futuristic city,en,Tomorrowland,130.311355,2015-05-19,209154322,130.0,English,Released,Tomorrowland,6.2,2846
165000000,Adventure-Family-Animation-Action-Comedy,177572,brother brother relationship-hero-talent-revenge-best friend-another dimension-robot-boy genius-hate-aftercreditsstinger-moral dilemma-3d-teen superheroes-dead brother,en,Big Hero 6,203.73459,2014-10-24,652105443,102.0,English,Released,Big Hero 6,7.8,6135
165000000,Family-Animation-Comedy-Adventure,82690,support group-product placement-bullying-racing-arcade-medal-self esteem-curiosity-precocious child-aftercreditsstinger-duringcreditsstinger-first person shooter-glitch-carefree-video gamer-q*bert-interrupted wedding-social reject,en,Wreck-It Ralph,62.341073,2012-11-01,471222889,108.0,English,Released,Wreck-It Ralph,7.1,4570
165000000,Adventure-Animation-Family-Fantasy,5255,santa claus-nerd-faith-gift-bell-beard-north pole-chute-trestle-ticket-christmas,en,The Polar Express,47.323228,2004-11-10,305875730,100.0,English,Released,The Polar Express,6.4,1474
165000000,Action-Adventure-Science Fiction,47933,alternate history-alien invasion,en,Independence Day: Resurgence,48.775723,2016-06-22,389681935,120.0,English,Released,Independence Day: Resurgence,4.9,2491
165000000,Fantasy-Adventure-Animation-Family,10191,flying-blacksmith-arena-island-night-ship-training-village-forest-viking-friendship-ignorance-flight-nest-dragon-battle-combat-well-warrior,en,How to Train Your Dragon,67.263269,2010-03-05,494878759,98.0,English,Released,How to Train Your Dragon,7.5,4227
200000000,Action-Thriller-Science Fiction,296,saving the world-artificial intelligence-man vs machine-cyborg-killer robot-sun glasses-leather jacket-nanotechnology-rocket launcher-firemen-veterinarian-fire engine-dystopia-psychiatrist,en,Terminator 3: Rise of the Machines,69.405188,2003-07-02,435000000,109.0,English,Released,Terminator 3: Rise of the Machines,5.9,2143
170000000,Action-Science Fiction-Adventure,118340,marvel comic-spaceship-space-outer space-orphan-adventurer-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe,en,Guardians of the Galaxy,481.09862400000003,2014-07-30,773328629,121.0,English,Released,Guardians of the Galaxy,7.9,9742
165000000,Adventure-Drama-Science Fiction,157336,saving the world-artificial intelligence-father son relationship-single parent-nasa-expedition-wormhole-space travel-famine-black hole-dystopia-race against time-quantum mechanics-spaceship-space-rescue-family relationships-farmhouse-robot-astronaut-scientist-father daughter relationship-single father-farmer-space station-imax-astrophysics-zero gravity-courage-time paradox-relativity,en,Interstellar,724.247784,2014-11-05,675120017,169.0,English,Released,Interstellar,8.1,10867
160000000,Action-Thriller-Science Fiction-Mystery-Adventure,27205,loss of lover-dream-kidnapping-sleep-subconsciousness-heist-redemption-female hero,en,Inception,167.58371,2010-07-14,825532764,148.0,English-日本語-Français,Released,Inception,8.1,13752
15000000,Action-Adventure-Drama-Horror-Science Fiction,315011,monster-godzilla-giant monster-destruction-kaiju-toyko,ja,シン・ゴジラ,9.476999000000001,2016-07-29,77000000,120.0,Italiano-Deutsch-English-日本語,Released,Shin Godzilla,6.5,143
250000000,Adventure-Fantasy-Action,49051,riddle-elves-dwarves-orcs-middle-earth (tolkien)-hobbit-mountains-wizard-journey-ring-goblin-courage-giant-tunnel-underground lake-buried treasure-climbing a tree-invisibility-ancient-gnomes,en,The Hobbit: An Unexpected Journey,108.849621,2012-11-26,1021103568,169.0,English,Released,The Hobbit: An Unexpected Journey,7.0,8297
38000000,Action-Crime-Thriller,9799,street gang-car race-undercover-auto-tuning-los angeles-car-automobile racing-aftercreditsstinger-duringcreditsstinger,en,The Fast and the Furious,6.909942,2001-06-22,207283925,106.0,English,Released,The Fast and the Furious,6.6,3428
150000000,Fantasy-Drama-Thriller-Mystery-Romance,4922,diary-navy-funeral-tea-travel-hospital,en,The Curious Case of Benjamin Button,60.269279000000004,2008-11-24,333932083,166.0,English,Released,The Curious Case of Benjamin Button,7.3,3292
160000000,Action-Science Fiction-Adventure,49538,cia-mutant-mine-marvel comic-superhero-based on comic book-superhuman-historical fiction-nuclear war-cuban missile crisis-world war iii-1960s,en,X-Men: First Class,3.195174,2011-05-24,353624124,132.0,Deutsch-English-Español-Français-Pусский,Released,X-Men: First Class,7.1,5181
160000000,Action-Adventure-Science Fiction,131634,revolution-strong woman-dystopia-game of death-3d-based on young adult novel,en,The Hunger Games: Mockingjay - Part 2,127.28442700000001,2015-11-18,653428261,137.0,English,Released,The Hunger Games: Mockingjay - Part 2,6.6,3984
150000000,Fantasy-Adventure-Action-Comedy-Drama,27022,witch-fire-wolf-fountain-magic-book-castle-water-apprentice-training-merlin-love-mission-sorcerer-dragon-aftercreditsstinger-apprendista-morgana,en,The Sorcerer's Apprentice,35.580815,2010-07-13,215283742,109.0,English,Released,The Sorcerer's Apprentice,5.8,1470
160000000,Adventure-Action-Drama-Thriller,503,new year's eve-fire-drowning-cataclysm-loss of father-atlantic ocean-ball-self-abandonment-shipwreck-giant wave-blackout-ship-daughter-single-escape-capsized ship,en,Poseidon,21.133748,2006-05-12,181674817,99.0,English-Español,Released,Poseidon,5.5,583
170000000,Fantasy,241259,based on novel-clock-queen-sequel-alice in wonderland-dark fantasy-mad hatter-3d,en,Alice Through the Looking Glass,56.268916000000004,2016-05-25,299370084,113.0,English,Released,Alice Through the Looking Glass,6.5,1725
